"SuperLuminate","Business","Glossary","Data Warehouse","Aggregates",1,,"Pre-calculated and pre-stored summaries that are stored in the data warehouse to improve query performance.",,
"SuperLuminate","Business","Glossary","Data Warehouse","AJAX",1,,"AJAX (Asynchronous JavaScript + XML)",,
"SuperLuminate","Business","Glossary","Data Warehouse","Alert",1,,"A notice message which is generated based on a user specified condition on a metric in a report or dashboard. It may also be a notice that a particular report or indicator has been refreshed.",,
"SuperLuminate","Business","Glossary","Data Warehouse","Analytic Reports",1,,"Analytic reports are used primarily for making key business decisions. Examples of analytic processing include trend analysis and period-to-period comparisons.",,
"SuperLuminate","Business","Glossary","Data Warehouse","Answer Set",1,,"The set of rows returned to the end user as a result of a SQL expression presented to a relational DBMS.",,
"SuperLuminate","Business","Glossary","Data Warehouse","ASP",1,,"Application Service Provider (provider of outsourced web application like SalesForce.com)",,
"SuperLuminate","Business","Glossary","Data Warehouse","Attribute",1,,"A column in a dimension table.    Examples of attributes are customer name, address, city, zip code, state and country.  These are attributes of customer dimension.",,
"SuperLuminate","Business","Glossary","Data Warehouse","AUP",1,,"Average Unit Price",,
"SuperLuminate","Business","Glossary","Data Warehouse","Back End Tool",1,,"A software application, typically resident on both the client and the server, that assists in the production data extract process.  Compare with front end tool.",,
"SuperLuminate","Business","Glossary","Data Warehouse","BAM",1,,"Business Activity Monitoring",,
"SuperLuminate","Business","Glossary","Data Warehouse","BBB",1,,"Billings, Bookings, and Backlogs",,
"SuperLuminate","Business","Glossary","Data Warehouse","BCA",1,,"Business Objects Broadcast Agent",,
"SuperLuminate","Business","Glossary","Data Warehouse","BPR",1,,"Business Process Re-engineering",,
"SuperLuminate","Business","Glossary","Data Warehouse","BRD",1,,"Business Requirements Document",,
"SuperLuminate","Business","Glossary","Data Warehouse","Browser Query",1,,"A SELECT DISTINCT query on a single dimension table to enumerate the values of an attribute.",,
